stfdem,trstprt,political_efficacy_index,social_trust_index,hincfel,lrscale,eduyrs,agea,gndr,vote_clean,vote_binary,political_efficacy_index_z,social_trust_index_z,hincfel_z,lrscale_z,eduyrs_z,agea_z
7.0,3.0,3.25,6.0,1.0,5.0,18.0,56.0,1.0,Voted,1,1.025697510325725,0.23419574667313706,-0.8684841111860602,0.25952744239745473,0.974194564108725,0.19509736508985406
9.0,7.0,3.25,7.0,1.0,3.0,13.0,50.0,2.0,Voted,1,1.025697510325725,0.8568406858745377,-0.8684841111860602,-0.8705667371560182,-0.5288235105813693,-0.14084337034851502
1.0,1.0,1.5,5.0,2.0,5.0,12.0,29.0,2.0,Voted,1,-1.423634916954216,-0.3884491925282636,0.6688668369168803,0.25952744239745473,-0.8294271255193882,-1.3166359443828068
3.0,3.0,3.25,7.0,1.0,5.0,18.0,65.0,1.0,Voted,1,1.025697510325725,0.8568406858745377,-0.8684841111860602,0.25952744239745473,0.974194564108725,0.6990084682474077
8.0,5.0,1.25,7.333333333333333,1.0,3.0,12.0,58.0,2.0,Voted,1,-1.773539549422779,1.064388998941671,-0.8684841111860602,-0.8705667371560182,-0.8294271255193882,0.3070776102359771
10.0,6.0,2.75,5.333333333333333,1.0,5.0,15.0,20.0,2.0,Voted,1,0.3258882453885992,-0.18090087946113026,-0.8684841111860602,0.25952744239745473,0.0723837192946684,-1.8205470475403605
10.0,3.0,3.0,6.666666666666667,1.0,3.0,16.0,55.0,2.0,Voted,1,0.6757928778571621,0.6492923728074044,-0.8684841111860602,-0.8705667371560182,0.37298733423268726,0.13910724251679257
7.0,6.0,2.75,7.666666666666667,2.0,1.0,13.0,38.0,2.0,Voted,1,0.3258882453885992,1.271937312008805,0.6688668369168803,-2.0006609167094913,-0.5288235105813693,-0.8127248412252531
6.0,5.0,3.0,6.666666666666667,1.0,6.0,17.0,64.0,1.0,Voted,1,0.6757928778571621,0.6492923728074044,-0.8684841111860602,0.8245745321741912,0.6735909491707062,0.6430183456743461
3.0,0.0,2.25,3.3333333333333335,1.0,4.0,22.0,35.0,1.0,Voted,1,-0.37392101954852686,-1.4261907578639312,-0.8684841111860602,-0.3055196473792817,2.1766090238608005,-0.9806952089444377
4.0,4.0,3.0,4.333333333333333,2.0,5.0,15.0,58.0,1.0,Did not vote,0,0.6757928778571621,-0.8035458186625309,0.6688668369168803,0.25952744239745473,0.0723837192946684,0.3070776102359771
7.0,5.0,3.0,6.0,1.0,4.0,23.0,50.0,1.0,Voted,1,0.6757928778571621,0.23419574667313706,-0.8684841111860602,-0.3055196473792817,2.4772126387988194,-0.14084337034851502
5.0,3.0,1.5,6.666666666666667,1.0,5.0,14.0,84.0,1.0,Voted,1,-1.423634916954216,0.6492923728074044,-0.8684841111860602,0.25952744239745473,-0.22821989564335046,1.7628207971355765
7.0,2.0,2.0,6.0,1.0,7.0,15.0,75.0,1.0,Voted,1,-0.7238256520170899,0.23419574667313706,-0.8684841111860602,1.3896216219509276,0.0723837192946684,1.2589096939780229
2.0,1.0,1.25,7.0,2.0,4.0,12.0,62.0,1.0,Voted,1,-1.773539549422779,0.8568406858745377,0.6688668369168803,-0.3055196473792817,-0.8294271255193882,0.5310381005282232
8.0,6.0,3.0,7.333333333333333,1.0,3.0,19.0,56.0,2.0,Voted,1,0.6757928778571621,1.064388998941671,-0.8684841111860602,-0.8705667371560182,1.274798179046744,0.19509736508985406
5.0,6.0,2.5,6.333333333333333,1.0,0.0,7.0,77.0,2.0,Did not vote,0,-0.024016387079963866,0.4417440597402704,-0.8684841111860602,-2.5657080064862274,-2.3324452002094826,1.3708899391241458
7.0,3.0,2.25,6.666666666666667,2.0,5.0,13.0,37.0,2.0,Voted,1,-0.37392101954852686,0.6492923728074044,0.6688668369168803,0.25952744239745473,-0.5288235105813693,-0.8687149637983147
4.0,2.0,2.75,4.333333333333333,2.0,4.0,18.0,59.0,1.0,Voted,1,0.3258882453885992,-0.8035458186625309,0.6688668369168803,-0.3055196473792817,0.974194564108725,0.3630677328090386
7.0,4.0,2.25,7.0,2.0,6.0,12.0,71.0,1.0,Voted,1,-0.37392101954852686,0.8568406858745377,0.6688668369168803,0.8245745321741912,-0.8294271255193882,1.0349492036857768
4.0,3.0,1.75,5.333333333333333,2.0,5.0,9.0,71.0,2.0,Voted,1,-1.0737302844856529,-0.18090087946113026,0.6688668369168803,0.25952744239745473,-1.7312379703334448,1.0349492036857768
9.0,5.0,3.25,5.666666666666667,1.0,4.0,16.0,68.0,1.0,Voted,1,1.025697510325725,0.026647433606003672,-0.8684841111860602,-0.3055196473792817,0.37298733423268726,0.8669788359665922
