cntry,stfdem,trstprl,trstplt,trstprt,trstlgl,trstplc,trstep,trstun,social_trust_index,social_trust_group,political_efficacy_index,efficacy_group,vote_clean,hincfel,lrscale,lr_group,eduyrs,agea,gndr
DE,9.0,10.0,7.0,5.0,10.0,10.0,5.0,8.0,8.0,High social trust,4.5,High efficacy,Voted,2.0,6.0,Center (4-6),15.0,68.0,1.0
DE,7.0,7.0,6.0,7.0,9.0,8.0,5.0,6.0,6.666666666666667,High social trust,3.0,High efficacy,Voted,2.0,3.0,Left (0-3),19.0,55.0,2.0
DE,8.0,5.0,6.0,6.0,8.0,8.0,5.0,5.0,7.0,High social trust,1.5,Low efficacy,Voted,1.0,4.0,Center (4-6),11.0,89.0,1.0
DE,8.0,6.0,5.0,5.0,8.0,6.0,6.0,6.0,6.0,Medium social trust,2.5,Medium efficacy,Voted,2.0,3.0,Left (0-3),17.0,23.0,1.0
DE,6.0,9.0,6.0,5.0,9.0,8.0,5.0,5.0,6.666666666666667,High social trust,3.5,High efficacy,Voted,1.0,3.0,Left (0-3),20.0,64.0,1.0
DE,9.0,9.0,8.0,8.0,8.0,9.0,8.0,8.0,6.333333333333333,Medium social trust,4.0,High efficacy,Voted,2.0,5.0,Center (4-6),20.0,33.0,1.0
DE,6.0,4.0,4.0,4.0,5.0,7.0,4.0,5.0,6.333333333333333,Medium social trust,3.0,High efficacy,Voted,1.0,7.0,Right (7-10),13.0,55.0,1.0
DE,7.0,3.0,3.0,3.0,7.0,7.0,3.0,3.0,6.0,Medium social trust,3.25,High efficacy,Voted,1.0,5.0,Center (4-6),18.0,56.0,1.0
DE,9.0,8.0,7.0,7.0,9.0,10.0,6.0,8.0,7.0,High social trust,3.25,High efficacy,Voted,1.0,3.0,Left (0-3),13.0,50.0,2.0
DE,1.0,3.0,1.0,1.0,4.0,7.0,1.0,2.0,5.0,Low social trust,1.5,Low efficacy,Voted,2.0,5.0,Center (4-6),12.0,29.0,2.0
DE,3.0,3.0,3.0,3.0,4.0,6.0,1.0,3.0,7.0,High social trust,3.25,High efficacy,Voted,1.0,5.0,Center (4-6),18.0,65.0,1.0
DE,8.0,3.0,5.0,5.0,8.0,8.0,5.0,7.0,7.333333333333333,High social trust,1.25,Low efficacy,Voted,1.0,3.0,Left (0-3),12.0,58.0,2.0
DE,10.0,6.0,4.0,6.0,8.0,10.0,6.0,5.0,5.333333333333333,Medium social trust,2.75,Medium efficacy,Voted,1.0,5.0,Center (4-6),15.0,20.0,2.0
DE,10.0,7.0,3.0,3.0,5.0,8.0,3.0,3.0,6.666666666666667,High social trust,3.0,High efficacy,Voted,1.0,3.0,Left (0-3),16.0,55.0,2.0
DE,7.0,6.0,6.0,6.0,7.0,9.0,7.0,7.0,7.666666666666667,High social trust,2.75,Medium efficacy,Voted,2.0,1.0,Left (0-3),13.0,38.0,2.0
DE,6.0,6.0,5.0,5.0,8.0,9.0,5.0,5.0,6.666666666666667,High social trust,3.0,High efficacy,Voted,1.0,6.0,Center (4-6),17.0,64.0,1.0
DE,3.0,0.0,0.0,0.0,6.0,6.0,2.0,0.0,3.3333333333333335,Low social trust,2.25,Low efficacy,Voted,1.0,4.0,Center (4-6),22.0,35.0,1.0
DE,4.0,4.0,3.0,4.0,5.0,4.0,3.0,2.0,4.333333333333333,Low social trust,3.0,High efficacy,Did not vote,2.0,5.0,Center (4-6),15.0,58.0,1.0
DE,7.0,6.0,5.0,5.0,7.0,7.0,6.0,6.0,6.0,Medium social trust,3.0,High efficacy,Voted,1.0,4.0,Center (4-6),23.0,50.0,1.0
DE,5.0,5.0,5.0,3.0,3.0,8.0,1.0,1.0,6.666666666666667,High social trust,1.5,Low efficacy,Voted,1.0,5.0,Center (4-6),14.0,84.0,1.0
DE,7.0,5.0,0.0,2.0,7.0,6.0,2.0,4.0,6.0,Medium social trust,2.0,Low efficacy,Voted,1.0,7.0,Right (7-10),15.0,75.0,1.0
